City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,yei,4.095,30.6779,24.31,44,56,1.28,SS,1675204273
347,charters towers,-20.1,146.2667,26.25,76,97,3.5,AU,1675203600
348,chipinge,-20.1883,32.6236,17.99,93,64,3.7,ZW,1675204185
349,hualmay,-11.0964,-77.6139,23.8,73,94,3.61,PE,1675203916
350,kosh-agach,50.0,88.6667,-29.24,82,84,1.04,RU,1675204275
351,warrington,53.3925,-2.5802,8.67,75,40,10.8,GB,1675204276
352,klyuchi,52.2667,79.1667,-12.67,95,100,1.62,RU,1675204277
353,faya,18.3851,42.4509,12.06,65,33,1.73,SA,1675203891
354,thinadhoo,0.5333,72.9333,27.06,77,33,5.43,MV,1675204278
355,huinan,42.6225,126.2614,-8.86,96,100,3.48,CN,1675204279
356,shahpura,27.3833,75.9667,9.98,67,0,2.69,IN,1675204279
357,eyl,7.9803,49.8164,22.77,80,12,6.23,SO,1675203945
358,japura,-0.3167,102.35,22.38,99,100,1.1,ID,1675204016
359,cimislia,46.52,28.7842,3.08,94,35,2.99,MD,1675204280
360,la ronge,55.1001,-105.2842,-22.86,59,0,3.09,CA,1675203979
361,aksarka,66.5606,67.7975,-10.47,94,100,6.24,RU,1675204281
362,iwanai,42.9744,140.5089,-9.23,90,85,3.11,JP,1675204281
363,leshukonskoye,64.8989,45.7622,-0.99,94,100,6.14,RU,1675204282
364,nara,34.6851,135.8049,0.73,58,9,1.49,JP,1675204282
